Dan	Morgan	told
reckon	I'll	get
I'll	get	the
get	the	boss
the	boss	rattler
boss	rattler	to
rattler	to	help
to	help	me
help	me	''
me	''	.
''	.	``
.	``	Tom
``	Tom	!
Tom	!	!
!	!	For
!	For	God's
For	God's	sake
God's	sake	''
sake	''	!
''	!	!
!	!	``
!	``	Looky
``	Looky	''
Looky	''	.
''	.	He
.	He	pointed
He	pointed	,
pointed	,	cutting
,	cutting	her
cutting	her	off
her	off	.
off	.	``
.	``	See
``	See	that
See	that	wildcat
that	wildcat	''
wildcat	''	?
''	?	?
?	?	She
?	She	saw
She	saw	it
saw	it	then
it	then	,
then	,	the
,	the	distant
the	distant	derrick
distant	derrick	of
derrick	of	the
of	the	wildcat
the	wildcat	--
wildcat	--	a
--	a	test
a	test	well
test	well	in
well	in	unexplored
in	unexplored	country
unexplored	country	.
country	.	And
.	And	even
And	even	with
even	with	her
with	her	limited
her	limited	knowledge
limited	knowledge	of
knowledge	of	such
of	such	things
such	things	,
things	,	she
,	she	knew
she	knew	that
knew	that	the
that	the	car
the	car	could
car	could	be
could	be	repaired
be	repaired	there
repaired	there	;
there	;	;
;	;	sufficiently
;	sufficiently	,
sufficiently	,	at
,	at	least
at	least	,
least	,	to
,	to	get
to	get	them
get	them	back
them	back	into
back	into	town
into	town	.
town	.	A
.	A	wildcatter
A	wildcatter	had
wildcatter	had	to
had	to	be
to	be	prepared
be	prepared	for
prepared	for	almost
for	almost	any
almost	any	emergency
any	emergency	.
emergency	.	He
.	He	had
He	had	to
had	to	depend
to	depend	on
depend	on	himself
on	himself	,
himself	,	since
,	since	he
since	he	was
he	was	invariably
was	invariably	miles
invariably	miles	and
miles	and	hours
and	hours	away
hours	away	from
away	from	others
from	others	.
others	.	``
.	``	Well
``	Well	,
Well	,	let's
,	let's	get
let's	get	going
get	going	''
going	''	,
''	,	she
,	she	said
she	said	impatiently
said	impatiently	.
impatiently	.	``
.	``	I
``	I	''
I	''	--
''	--	She
--	She	broke
She	broke	off
broke	off	,
off	,	frowning
,	frowning	.
frowning	.	``
.	``	What
``	What	did
What	did	you
did	you	mean
you	mean	by
mean	by	that
by	that	rattlesnake
that	rattlesnake	gag
rattlesnake	gag	?
gag	?	?
?	?	Getting
?	Getting	the
Getting	the	boss
the	boss	rattlesnake
boss	rattlesnake	to
rattlesnake	to	help
to	help	you
help	you	''
you	''	?
''	?	?
?	?	``
?	``	Why
``	Why	,
Why	,	I
,	I	meant
I	meant	what
meant	what	I
what	I	said
I	said	''
said	''	,
''	,	Lord
,	Lord	declared
Lord	declared	.
declared	.	``
.	``	What
``	What	else
What	else	would
else	would	I
would	I	mean
I	mean	,
mean	,	anyways
,	anyways	''
anyways	''	?
''	?	?
?	?	She
?	She	looked
She	looked	at
looked	at	him
at	him	,
him	,	lips
,	lips	compressed
lips	compressed	.
compressed	.	Then
.	Then	,
Then	,	with
,	with	a
with	a	shrug
a	shrug	of
shrug	of	pretended
of	pretended	indifference
pretended	indifference	,
indifference	,	she
,	she	took
she	took	a
took	a	compact
a	compact	from
compact	from	her
from	her	purse
her	purse	and
purse	and	went
and	went	through
went	through	the
through	the	motions
the	motions	of
motions	of	fixing
of	fixing	her
fixing	her	make-up
her	make-up	.
make-up	.	In
.	In	his
In	his	mood
his	mood	,
mood	,	it
,	it	was
it	was	the
was	the	best
the	best	way
best	way	to
way	to	handle
to	handle	him
handle	him	;
him	;	;
;	;	that
;	that	is
that	is	,
is	,	to
,	to	show
to	show	no
show	no	curiosity
no	curiosity	whatsoever
curiosity	whatsoever	.
whatsoever	.	Otherwise
.	Otherwise	,
Otherwise	,	she
,	she	would
she	would	be
would	be	baited
be	baited	into
baited	into	a
into	a	tantrum
a	tantrum	--
tantrum	--	teased
--	teased	and
teased	and	provoked
and	provoked	until
provoked	until	she
until	she	lost
she	lost	control
lost	control	of
control	of	herself
of	herself	,
herself	,	and
,	and	thus
and	thus	lost
thus	lost	still
lost	still	another
still	another	battle
another	battle	in
battle	in	the
in	the	maddening
the	maddening	struggle
maddening	struggle	of
struggle	of	Tom
of	Tom	Lord
Tom	Lord	Vs.
Lord	Vs.	Joyce
Vs.	Joyce	Lakewood
Joyce	Lakewood	.
Lakewood	.	The
.	The	car
The	car	lurched
car	lurched	along
lurched	along	at
along	at	a
at	a	snail's
a	snail's	crawl
snail's	crawl	,
crawl	,	the
,	the	left-front
the	left-front	mudguard
left-front	mudguard	banging
mudguard	banging	and
banging	and	scraping
and	scraping	against
scraping	against	the
against	the	tire
the	tire	,
tire	,	occasionally
,	occasionally	scraping
occasionally	scraping	against
scraping	against	the
against	the	road
the	road	itself
road	itself	.
itself	.	Lord
.	Lord	whistled
Lord	whistled	tunelessly
whistled	tunelessly	as
tunelessly	as	he
as	he	fought
he	fought	the
fought	the	steering
the	steering	wheel
steering	wheel	.
wheel	.	He
.	He	seemed
He	seemed	very
seemed	very	pleased
very	pleased	with
pleased	with	himself
with	himself	,
himself	,	as
,	as	though
as	though	some
though	some	intricate
some	intricate	scheme
intricate	scheme	was
scheme	was	working
was	working	out
working	out	exactly
out	exactly	as
exactly	as	he
as	he	had
he	had	planned
had	planned	.
planned	.	Along
.	Along	with
Along	with	this
with	this	self-satisfaction
this	self-satisfaction	,
self-satisfaction	,	however
,	however	,
however	,	Joyce
,	Joyce	sensed
Joyce	sensed	a
sensed	a	growing
a	growing	tension
growing	tension	.
tension	.	It
.	It	poured
It	poured	out
poured	out	of
out	of	him
of	him	like
him	like	an
like	an	electric
an	electric	current
electric	current	,
current	,	a
,	a	feeling
a	feeling	that
feeling	that	the
that	the	muscles
the	muscles	and
muscles	and	nerves
and	nerves	of
nerves	of	his
of	his	fine-drawn
his	fine-drawn	body
fine-drawn	body	were
body	were	coiling
were	coiling	for
coiling	for	action
for	action	,
action	,	and
,	and	that
and	that	that
that	that	action
that	action	would
action	would	be
would	be	all
be	all	that
all	that	he
that	he	anticipated
he	anticipated	.
anticipated	.	Joyce
.	Joyce	had
Joyce	had	seen
had	seen	him
seen	him	like
him	like	this
like	this	once
this	once	before
once	before	--
before	--	more
--	more	than
more	than	once
than	once	,
once	,	actually
,	actually	,
actually	,	but
,	but	on
but	on	one
on	one	particularly
one	particularly	memorable
particularly	memorable	occasion
memorable	occasion	.
occasion	.	That
.	That	was
That	was	the
was	the	day
the	day	that
day	that	he
that	he	had
he	had	practically
had	practically	mopped
practically	mopped	up
mopped	up	the
up	the	main
the	main	street
main	street	of
street	of	Big
of	Big	Sands
Big	Sands	with
Sands	with	Aaron
with	Aaron	McBride
Aaron	McBride	,
McBride	,	field
,	field	boss
field	boss	for
boss	for	the
for	the	Highlands
the	Highlands	Oil
Highlands	Oil	&
Oil	&	Gas
&	Gas	Company
Gas	Company	.
Company	.	Tom
.	Tom	had
Tom	had	been
had	been	laying
been	laying	for
laying	for	Aaron
for	Aaron	McBride
Aaron	McBride	for
McBride	for	a
for	a	long
a	long	time
long	time	,
time	,	just
,	just	waiting
just	waiting	to
waiting	to	catch
to	catch	him
catch	him	out
him	out	of
out	of	line
of	line	.
line	.	McBride
.	McBride	gave
McBride	gave	him
gave	him	his
him	his	opportunity
his	opportunity	when
opportunity	when	he
when	he	showed
he	showed	up
showed	up	in
up	in	town
in	town	with
town	with	a
with	a	pistol
a	pistol	on
pistol	on	his
on	his	hip
his	hip	.
hip	.	He
.	He	had
He	had	a
had	a	legitimate
a	legitimate	reason
legitimate	reason	for
reason	for	wearing
for	wearing	it
wearing	it	.
it	.	It
.	It	was
It	was	payday
was	payday	for
payday	for	Highlands
for	Highlands	,
Highlands	,	and
,	and	he
and	he	was
he	was	packing
was	packing	a
packing	a	lot
a	lot	of
lot	of	money
of	money	back
money	back	into
back	into	the
into	the	oil
the	oil	fields
oil	fields	.
fields	.	Moreover
.	Moreover	,
Moreover	,	as
,	as	long
as	long	as
long	as	the
as	the	weapon
the	weapon	was
weapon	was	carried
was	carried	openly
carried	openly	,
openly	,	the
,	the	sheriff's
the	sheriff's	office
sheriff's	office	had
office	had	made
had	made	no
made	no	previous
no	previous	issue
previous	issue	of
issue	of	it
of	it	.
it	.	``
.	``	So
``	So	what's
So	what's	this
what's	this	all
this	all	about
all	about	''
about	''	?
''	?	?
?	?	He
?	He	demanded
He	demanded	,
demanded	,	when
,	when	Lord
when	Lord	confronted
Lord	confronted	him
confronted	him	.
him	.	I'm
.	I'm	not
I'm	not	the
not	the	only
the	only	man
only	man	in
man	in	town
in	town	with
town	with	a
with	a	gun
a	gun	,
gun	,	or
,	or	the
or	the	only
the	only	one
only	one	without
one	without	a
without	a	permit
a	permit	''
permit	''	.
''	.	It
.	It	was
It	was	the
was	the	wrong
the	wrong	thing
wrong	thing	to
thing	to	say
to	say	.
say	.	By
.	By	failing
By	failing	to
failing	to	do
to	do	as
do	as	he
as	he	was
he	was	told
was	told	instantly
told	instantly	--
instantly	--	to
--	to	take
to	take	out
take	out	a
out	a	permit
a	permit	or
permit	or	return
or	return	the
return	the	gun
the	gun	to
gun	to	his
to	his	car
his	car	--
car	--	he
--	he	had
he	had	played
had	played	into
played	into	Lord's
into	Lord's	hands
Lord's	hands	.
hands	.	The
.	The	trouble
The	trouble	was
trouble	was	that
was	that	he
that	he	had
he	had	virtually
had	virtually	had
virtually	had	to
had	to	protest
to	protest	.
protest	.	The
.	The	deputy
The	deputy	had
deputy	had	forced
had	forced	him
forced	him	to
him	to	by
to	by	his
by	his	manner
his	manner	of
manner	of	accosting
of	accosting	him
accosting	him	.
him	.	So
.	So	,
So	,	``
,	``	How
``	How	about
How	about	it
about	it	''
it	''	?
''	?	?
?	?	He
?	He	said
He	said	.
said	.	``
.	``	Why
``	Why	single
Why	single	me
single	me	out
me	out	on
out	on	this
on	this	permit
this	permit	deal
permit	deal	''
deal	''	?
''	?	?
?	?	``
?	``	Well
``	Well	,
Well	,	I'll
,	I'll	tell
I'll	tell	you
tell	you	about
you	about	that
about	that	''
that	''	,
''	,	Lord
,	Lord	told
Lord	told	him
told	him	.
him	.	``
.	``	We
``	We	aim
We	aim	t'
aim	t'	be
t'	be	see-lective
be	see-lective	,
see-lective	,	y'know
,	y'know	?
y'know	?	?
?	?	Don't
?	Don't	like
Don't	like	to
like	to	bother
to	bother	no
bother	no	one
no	one	unless
one	unless	we
unless	we	have
we	have	to
have	to	,
to	,	which
,	which	I
which	I	figger
I	figger	we
figger	we	do
we	do	,
do	,	in
,	in	your
in	your	case
your	case	.
case	.	Figger
.	Figger	we
Figger	we	got
we	got	to
got	to	be
to	be	plumb
be	plumb	careful
plumb	careful	with
careful	with	any
with	any	of
any	of	you
of	you	Highlands
you	Highlands	big
Highlands	big	shots
big	shots	''
shots	''	.
''	.	McBride
.	McBride	reddened
McBride	reddened	.
reddened	.	He
.	He	himself
He	himself	had
himself	had	heard
had	heard	that
heard	that	there
that	there	was
there	was	gangster
was	gangster	money
gangster	money	in
money	in	the
in	the	company
the	company	,
company	,	but
,	but	that
but	that	had
that	had	nothing
had	nothing	to
nothing	to	do
to	do	with
do	with	him
with	him	.
him	.	He
.	He	was
He	was	an
was	an	honest
an	honest	man
honest	man	doing
man	doing	a
doing	a	hard
a	hard	job
hard	job	,
job	,	and
,	and	the
and	the	implication
the	implication	that
implication	that	he
that	he	was
he	was	anything
was	anything	else
anything	else	was
else	was	unbearable
was	unbearable	.
unbearable	.	``
.	``	Look
``	Look	,
Look	,	Lord
,	Lord	''
Lord	''	,
''	,	he
,	he	said
he	said	hoarsely
said	hoarsely	.
hoarsely	.	``
.	``	I
``	I	know
I	know	you've
know	you've	got
you've	got	a
got	a	grudge
a	grudge	against
grudge	against	me
against	me	,
me	,	and
,	and	maybe
and	maybe	I
maybe	I	can't
I	can't	blame
can't	blame	you
blame	you	.
you	.	You
.	You	think
You	think	that
think	that	Highlands
that	Highlands	swindled
Highlands	swindled	you
swindled	you	and
you	and	I
and	I	helped
I	helped	'em
helped	'em	do
'em	do	it
do	it	.
it	.	But
.	But	you're
But	you're	all
you're	all	wrong
all	wrong	,
wrong	,	man
,	man	!
man	!	!
!	!	I'm
!	I'm	no
I'm	no	lawyer
no	lawyer	.
lawyer	.	I
.	I	just
I	just	do
just	do	what
do	what	I'm
what	I'm	told
I'm	told	,
told	,	and
,	and	''
and	''	--
''	--	``
--	``	uh-huh
``	uh-huh	.
uh-huh	.	An'
.	An'	that
An'	that	could
that	could	mean
could	mean	trouble
mean	trouble	with
trouble	with	a
with	a	fella
a	fella	that's
fella	that's	workin'
that's	workin'	for
workin'	for	crooks
for	crooks	.
crooks	.	So
.	So	you
So	you	get
you	get	rid
get	rid	of
rid	of	that
of	that	pistol
that	pistol	right
pistol	right	now
right	now	,
now	,	Mis-ter
,	Mis-ter	McBride
Mis-ter	McBride	.
McBride	.	You
.	You	do
You	do	that
do	that	or
that	or	take
or	take	you
take	you	out
you	out	a
out	a	permit
a	permit	right
permit	right	now
right	now	''
now	''	.
''	.	McBride
.	McBride	couldn't
McBride	couldn't	do
couldn't	do	either
do	either	,
either	,	of
,	of	course
of	course	.
course	.	Not
.	Not	immediately
Not	immediately	,
immediately	,	as
,	as	the
as	the	deputy
the	deputy	demanded
deputy	demanded	.
demanded	.	Not
.	Not	without
Not	without	a
without	a	face-saving
a	face-saving	respite
face-saving	respite	of
respite	of	at
of	at	least
at	least	a
least	a	few
a	few	minutes
few	minutes	.
minutes	.	To
.	To	do
To	do	so
do	so	would
so	would	make
would	make	his
make	his	job
his	job	well-nigh
job	well-nigh	impossible
well-nigh	impossible	.
impossible	.	Oil-field
.	Oil-field	workers
Oil-field	workers	were
workers	were	a
were	a	rough-tough
a	rough-tough	lot
rough-tough	lot	.
lot	.	How
.	How	could
How	could	he
could	he	exert
he	exert	authority
exert	authority	over
authority	over	them
over	them	--
them	--	make
--	make	them
make	them	toe
them	toe	the
toe	the	line
the	line	,
line	,	as
,	as	he
as	he	had
he	had	to
had	to	--
to	--	if
--	if	he
if	he	knuckled
he	knuckled	under
knuckled	under	to
under	to	this
to	this	small-town
this	small-town	clown
small-town	clown	?
clown	?	?
?	?	``
?	``	I'll
``	I'll	get
I'll	get	around
get	around	to
around	to	it
to	it	a
it	a	little
a	little	later
little	later	''
later	''	,
''	,	he
,	he	mumbled
he	mumbled	desperately
mumbled	desperately	.
desperately	.	``
.	``	Just
``	Just	as
Just	as	soon
as	soon	as
soon	as	I
as	I	go
I	go	to
go	to	the
to	the	bank
the	bank	,
bank	,	and
,	and	''
and	''	--
''	--	``
--	``	huh-uh
``	huh-uh	.
huh-uh	.	Now
.	Now	,
Now	,	Mis-ter
,	Mis-ter	McBride
Mis-ter	McBride	''
McBride	''	,
''	,	said
,	said	Lord
said	Lord	,
Lord	,	and
,	and	he
and	he	laid
he	laid	a
laid	a	firmly
a	firmly	restraining
firmly	restraining	hand
restraining	hand	on
hand	on	the
on	the	field
the	field	boss's
field	boss's	arm
boss's	arm	.
arm	.	It
.	It	was
It	was	strictly
was	strictly	the
strictly	the	deputy's
the	deputy's	game
deputy's	game	,
game	,	but
,	but	McBride
but	McBride	had
McBride	had	gone
had	gone	too
gone	too	far
too	far	to
far	to	throw
to	throw	in
throw	in	.
in	.	Now
.	Now	,
Now	,	he
,	he	could
he	could	only
could	only	play
only	play	the
play	the	last
the	last	card
last	card	in
card	in	what
in	what	was
what	was	probably
was	probably	the
probably	the	world's
the	world's	coldest
world's	coldest	deck
coldest	deck	.
deck	.	He
.	He	flung
He	flung	off
flung	off	Lord's
off	Lord's	hand
Lord's	hand	and
hand	and	attempted
and	attempted	to
attempted	to	push
to	push	past
push	past	him
past	him	,
him	,	inadvertently
,	inadvertently	shoving
inadvertently	shoving	him
shoving	him	into
him	into	a
into	a	storefront
a	storefront	.
storefront	.	It
.	It	was
It	was	practically
was	practically	the
practically	the	last
the	last	move
last	move	that
move	that	McBride
that	McBride	made
McBride	made	of
made	of	his
of	his	own
his	own	volition
own	volition	.
volition	.	Lord
.	Lord	slugged
Lord	slugged	him
slugged	him	in
him	in	the
in	the	stomach
the	stomach	,
stomach	,	so
,	so	hard
so	hard	that
hard	that	the
that	the	organ
the	organ	almost
organ	almost	pressed
almost	pressed	against
pressed	against	his
against	his	spine
his	spine	.
spine	.	Then
.	Then	,
Then	,	as
,	as	he
as	he	doubled
he	doubled	,
doubled	,	gasping
,	gasping	,
gasping	,	vomiting
,	vomiting	the
vomiting	the	breakfast
the	breakfast	he
breakfast	he	had
he	had	so
had	so	lately
so	lately	eaten
lately	eaten	,
eaten	,	Lord
,	Lord	straightened
Lord	straightened	him
straightened	him	with
him	with	an
with	an	uppercut
an	uppercut	.
uppercut	.	A
.	A	rabbit
A	rabbit	punch
rabbit	punch	redoubled
punch	redoubled	him
redoubled	him	.
him	.	And
.	And	then
And	then	there
then	there	was
there	was	a
was	a	numbing
a	numbing	blow
numbing	blow	to
blow	to	the
to	the	heart
the	heart	,
heart	,	and
,	and	another
and	another	gut-flattening
another	gut-flattening	blow
gut-flattening	blow	to
blow	to	the
to	the	stomach
the	stomach	But
stomach	But	he
But	he	couldn't
he	couldn't	keep
couldn't	keep	up
keep	up	with
up	with	them
with	them	.
them	.	No
.	No	more
No	more	could
more	could	he
could	he	defend
he	defend	himself
defend	himself	against
himself	against	them
against	them	.
them	.	He
.	He	seemed
He	seemed	to
seemed	to	be
to	be	fighting
be	fighting	not
fighting	not	one
not	one	man
one	man	but
man	but	a
but	a	dozen
a	dozen	.
dozen	.	And
.	And	he
And	he	could
he	could	no
could	no	longer
no	longer	think
longer	think	of
think	of	face-saving
of	face-saving	,
face-saving	,	of
,	of	honor
of	honor	,
honor	,	but
,	but	only
but	only	of
only	of	escape
of	escape	.
escape	.	Why
.	Why	,
Why	,	he's
,	he's	going
he's	going	to
going	to	kill
to	kill	me
kill	me	,
me	,	he
,	he	thought
he	thought	wildly
thought	wildly	.
wildly	.	I
.	I	meant
I	meant	him
meant	him	no
him	no	harm
no	harm	.
harm	.	I've
.	I've	given
I've	given	willful
given	willful	hurt
willful	hurt	to
hurt	to	no
to	no	man
no	man	.
man	.	I
.	I	was
I	was	just
was	just	doing
just	doing	my
doing	my	job
my	job	,
job	,	just
,	just	following
just	following	orders
following	orders	,
orders	,	and
,	and	for
and	for	that
for	that	he's
that	he's	going
he's	going	to
going	to	kill
to	kill	me
kill	me	.
me	.	Beat
.	Beat	me
Beat	me	to
me	to	death
to	death	in
death	in	front
in	front	of
front	of	a
of	a	hundred
a	hundred	people
hundred	people	.
people	.	Somehow
.	Somehow	more
Somehow	more	terrible
more	terrible	than
terrible	than	the
than	the	certainty
the	certainty	that
certainty	that	he
that	he	was
he	was	about
was	about	to
about	to	die
to	die	was
die	was	the
was	the	knowledge
the	knowledge	that
knowledge	that	Lord
that	Lord	would
Lord	would	probably
would	probably	not
probably	not	suffer
not	suffer	for
suffer	for	it
for	it	:
it	:	the
:	the	murder
the	murder	would
murder	would	go
would	go	unpunished
go	unpunished	.
unpunished	.	He
.	He	,
He	,	McBride
,	McBride	,
McBride	,	would
,	would	be
would	be	cited
be	cited	as
cited	as	in
as	in	the
in	the	wrong
the	wrong	,
wrong	,	and
,	and	he
and	he	,
he	,	Lord
,	Lord	,
Lord	,	would
,	would	go
would	go	scot-free
go	scot-free	,
scot-free	,	an
,	an	officer
an	officer	who
officer	who	had
who	had	only
had	only	done
only	done	his
done	his	duty
his	duty	,
duty	,	though
,	though	perhaps
though	perhaps	too
perhaps	too	energetically
too	energetically	.
energetically	.	McBride
.	McBride	staggered
McBride	staggered	into
staggered	into	the
into	the	street
the	street	,
street	,	flopped
,	flopped	sprawling
flopped	sprawling	in
sprawling	in	the
in	the	stinging
the	stinging	dust
stinging	dust	.
dust	.	Fear-maddened
.	Fear-maddened	,
Fear-maddened	,	fleeing
,	fleeing	the
fleeing	the	lengthening
the	lengthening	shadow
lengthening	shadow	of
shadow	of	death
of	death	,
death	,	he
,	he	scrambled
he	scrambled	to
scrambled	to	his
to	his	feet
his	feet	again
feet	again	.
again	.	He
.	He	couldn't
He	couldn't	see
couldn't	see	;
see	;	;
;	;	he
;	he	was
he	was	long
was	long	past
long	past	the
past	the	point
the	point	of
point	of	coherent
of	coherent	thinking
coherent	thinking	.
thinking	.	Dimly
.	Dimly	,
Dimly	,	he
,	he	heard
he	heard	laughter
heard	laughter	,
laughter	,	hoots
,	hoots	of
hoots	of	derision
of	derision	,
derision	,	but
,	but	he
but	he	could
he	could	not
could	not	read
not	read	the
read	the	racket
the	racket	properly
racket	properly	.
properly	.	He
.	He	could
He	could	not
could	not	grasp
not	grasp	that
grasp	that	Lord
that	Lord	had
Lord	had	withdrawn
had	withdrawn	from
withdrawn	from	the
from	the	fight
the	fight	minutes
fight	minutes	ago
minutes	ago	,
ago	,	and
,	and	that
and	that	his
that	his	leaden
his	leaden	arms
leaden	arms	were
arms	were	flailing
were	flailing	at
flailing	at	nothing
at	nothing	but
nothing	but	the
but	the	air
the	air	.
air	.	He
.	He	hated
He	hated	them
hated	them	too
them	too	much
too	much	to
much	to	understand
to	understand	--
understand	--	the
--	the	people
the	people	of
people	of	this
of	this	isolated
this	isolated	law-unto-itself
isolated	law-unto-itself	world
law-unto-itself	world	that
world	that	was
that	was	Lord's
was	Lord's	world
Lord's	world	.
world	.	This
.	This	,
This	,	he
,	he	was
he	was	sure
was	sure	,
sure	,	was
,	was	the
was	the	way
the	way	they
way	they	would
they	would	act
would	act	;
act	;	;
;	;	laughing
;	laughing	at
laughing	at	a
at	a	dying
a	dying	man
dying	man	,
man	,	laughing
,	laughing	as
laughing	as	a
as	a	man
a	man	was
man	was	beaten
was	beaten	to
beaten	to	death
to	death	.
death	.	And
.	And	nothing
And	nothing	would
nothing	would	be
would	be	done
be	done	about
done	about	it
about	it	.
it	.	Nothing
.	Nothing	unless
Nothing	unless	Donna
unless	Donna	!
Donna	!	!
!	!	Donna
!	Donna	,
Donna	,	his
,	his	young
his	young	wife
young	wife	,
wife	,	the
,	the	girl
the	girl	who
girl	who	was
who	was	both
was	both	daughter
both	daughter	and
daughter	and	wife
and	wife	to
wife	to	him
to	him	.
him	.	Donna
.	Donna	was
Donna	was	like
was	like	he
like	he	was
he	was	.
was	.	She
.	She	lived
She	lived	by
lived	by	the
by	the	rules
the	rules	,
rules	,	never
,	never	compromising
never	compromising	,
compromising	,	never
,	never	blinded
never	blinded	or
blinded	or	diverted
or	diverted	by
diverted	by	circumstance
by	circumstance	.
circumstance	.	And
.	And	Donna
And	Donna	would
Donna	would	--
would	--	When
--	When	he
When	he	regained
he	regained	consciousness
regained	consciousness	he
consciousness	he	was
he	was	in
was	in	Lord's
in	Lord's	house
Lord's	house	,
house	,	in
,	in	the
in	the	office
the	office	of
office	of	Doctor
of	Doctor	Lord
Doctor	Lord	,
Lord	,	the
,	the	deputy's
the	deputy's	deceased
deputy's	deceased	father
deceased	father	.
father	.	The
.	The	Brannon
The	Brannon	outfit
Brannon	outfit	--
outfit	--	known
--	known	as
known	as	the
as	the	Slash-B
the	Slash-B	because
Slash-B	because	of
because	of	its
of	its	brand
its	brand	--
brand	--	reached
--	reached	Hondo
reached	Hondo	Creek
Hondo	Creek	before
Creek	before	sundown
before	sundown	.
sundown	.	The
.	The	herd
The	herd	was
herd	was	watered
was	watered	and
watered	and	then
and	then	thrown
then	thrown	onto
thrown	onto	a
onto	a	broad
a	broad	grass
broad	grass	flat
grass	flat	which
flat	which	was
which	was	to
was	to	be
to	be	the
be	the	first
the	first	night's
first	night's	bedground
night's	bedground	.
bedground	.	Two
.	Two	of
Two	of	the
of	the	new
the	new	hands
new	hands	,
hands	,	a
,	a	Mexican
a	Mexican	named
Mexican	named	Jose
named	Jose	Amado
Jose	Amado	and
Amado	and	a
and	a	kid
a	kid	known
kid	known	only
known	only	as
only	as	Laredo
as	Laredo	,
Laredo	,	were
,	were	picked
were	picked	for
picked	for	the
for	the	first
the	first	trick
first	trick	of
trick	of	riding
of	riding	night
riding	night	herd
night	herd	.
herd	.	The
.	The	rest
The	rest	of
rest	of	the
of	the	crew
the	crew	offsaddled
crew	offsaddled	their
offsaddled	their	mounts
their	mounts	and
mounts	and	turned
and	turned	them
turned	them	into
them	into	the
into	the	remuda
the	remuda	.
remuda	.	They
.	They	got
They	got	tin
got	tin	cups
tin	cups	of
cups	of	coffee
of	coffee	from
coffee	from	the
from	the	big
the	big	pot
big	pot	on
pot	on	the
on	the	coosie's
the	coosie's	fire
coosie's	fire	,
fire	,	rolled
,	rolled	and
rolled	and	lighted
and	lighted	brown-paper
lighted	brown-paper	cigarettes
brown-paper	cigarettes	,
cigarettes	,	lounged
,	lounged	about
lounged	about	.
about	.	There
.	There	was
There	was	some
was	some	idle
some	idle	talk
idle	talk	,
talk	,	a
,	a	listless
a	listless	discussion
listless	discussion	of
discussion	of	this
of	this	or
this	or	that
or	that	small
that	small	happening
small	happening	during
happening	during	the
during	the	day's
the	day's	drive
day's	drive	.
drive	.	But
.	But	they
But	they	deliberately
they	deliberately	avoided
deliberately	avoided	the
avoided	the	one
the	one	subject
one	subject	that
subject	that	had
that	had	them
had	them	all
them	all	curious
all	curious	:
curious	:	the
:	the	failure
the	failure	of
failure	of	the
of	the	boss's
the	boss's	wife
boss's	wife	and
wife	and	son
and	son	to
son	to	join
to	join	the
join	the	outfit
the	outfit	.
outfit	.	It
.	It	especially
It	especially	bothered
especially	bothered	the
bothered	the	older
the	older	hands
older	hands	.
hands	.	The
.	The	cook
The	cook	,
cook	,	Mateo
,	Mateo	Garcia
Mateo	Garcia	,
Garcia	,	had
,	had	arrived
had	arrived	there
arrived	there	long
there	long	before
long	before	the
before	the	herd
the	herd	.
herd	.	He'd
.	He'd	started
He'd	started	a
started	a	fire
a	fire	and
fire	and	put
and	put	coffee
put	coffee	on
coffee	on	,
on	,	and
,	and	now
and	now	was
now	was	busy
was	busy	at
busy	at	the
at	the	work
the	work	board
work	board	of
board	of	his
of	his	chuck
his	chuck	wagon
chuck	wagon	.
wagon	.	He
.	He	was
He	was	readying
was	readying	a
readying	a	batch
a	batch	of
batch	of	sourdough
of	sourdough	biscuits
sourdough	biscuits	for
biscuits	for	the
for	the	Dutch
the	Dutch	oven
Dutch	oven	.
oven	.	Supper
.	Supper	would
Supper	would	be
would	be	ready
be	ready	within
ready	within	the
within	the	hour
the	hour	.
hour	.	The
.	The	Maguire
The	Maguire	family
Maguire	family	was
family	was	setting
was	setting	up
setting	up	a
up	a	separate
a	separate	camp
separate	camp	nearby
camp	nearby	.
nearby	.	Billie
.	Billie	had
Billie	had	unhitched
had	unhitched	the
unhitched	the	mules
the	mules	from
mules	from	both
from	both	Tom
both	Tom	Brannon's
Tom	Brannon's	and
Brannon's	and	his
and	his	father's
his	father's	wagon
father's	wagon	.
wagon	.	Hank
.	Hank	had
Hank	had	gathered
had	gathered	wood
gathered	wood	for
wood	for	a
for	a	cookfire
a	cookfire	,
cookfire	,	and
,	and	his
and	his	wife
his	wife	was
wife	was	busy
was	busy	at
busy	at	it
at	it	now
it	now	.
now	.	Conchita
.	Conchita	kept
Conchita	kept	an
kept	an	eye
an	eye	on
eye	on	the
on	the	twins
the	twins	and
twins	and	little
and	little	Elena
little	Elena	,
Elena	,	trying
,	trying	to
trying	to	keep
to	keep	them
keep	them	from
them	from	falling
from	falling	into
falling	into	the
into	the	creek
the	creek	by
creek	by	which
by	which	they
which	they	persisted
they	persisted	in
persisted	in	playing
in	playing	.
playing	.	Conchita
.	Conchita	nagged
Conchita	nagged	at
nagged	at	the
at	the	younger
the	younger	children
younger	children	,
children	,	attempting
,	attempting	without
attempting	without	success
without	success	to
success	to	keep
to	keep	her
keep	her	thoughts
her	thoughts	off
thoughts	off	Tom
off	Tom	Brannon
Tom	Brannon	.
Brannon	.	Tom
.	Tom	Brannon
Tom	Brannon	had
Brannon	had	caught
